id,tract,Geographic Area Name,"CTRUCA.Tract Population, 2010","CTRUCA.Land Area (square miles), 2010","CTRUCA.Population Density (per square mile), 2010",Rural Rank,POC population,percent,racialdiversitytable.percentile rank,racial diversity index,,,Composite Index (Income/Rural Rank/DI/Housing),rounded composite,,,,,Check composites with Mike; all 4 values?,,RUCA Codes
1400000US09001073300,9001073300,"Census Tract 733, Fairfield County, Connecticut",3351,0.194061517,17267.72033,1,846,23.71076233,0.815,5,,,5,5,,,,,,,
1400000US09001073400,9001073400,"Census Tract 734, Fairfield County, Connecticut",4113,0.510591555,8055.362375,1,1482,36.81987578,0.947,5,,,4.5,5,,,,,,,
1400000US09001073500,9001073500,"Census Tract 735, Fairfield County, Connecticut",3456,0.171506586,20150.82964,1,1398,40.73426573,0.969,5,,,5,5,,,,,,,
1400000US09001073600,9001073600,"Census Tract 736, Fairfield County, Connecticut",2304,0.104111293,22130.16407,1,1028,42.42674371,0.975,5,,,5,5,,,,,,,
1400000US09001073700,9001073700,"Census Tract 737, Fairfield County, Connecticut",4824,0.340298874,14175.77421,1,1102,25.09678889,0.837,5,,,5,5,,,,,,,
1400000US09001073800,9001073800,"Census Tract 738, Fairfield County, Connecticut",2274,0.203790133,11158.53826,1,982,44.738041,0.982,5,,,5,5,,,,,,,
1400000US09001073900,9001073900,"Census Tract 739, Fairfield County, Connecticut",3395,0.196969252,17236.19275,1,1475,38.09400826,0.958,5,,,5,5,,,,,,,
1400000US09001074000,9001074000,"Census Tract 740, Fairfield County, Connecticut",1919,0.365703239,5247.424131,1,824,38.55872719,0.961,5,,,5,5,,,,,,,
1400000US09001074300,9001074300,"Census Tract 743, Fairfield County, Connecticut",4267,0.541787452,7875.78225,1,1825,36.66130976,0.952,5,,,5,5,,,,,,,
1400000US09001074400,9001074400,"Census Tract 744, Fairfield County, Connecticut",4168,0.741690309,5619.596143,1,1817,40.05731922,0.969,5,,,5,5,,,,,,,
1400000US09001080100,9001080100,"Census Tract 801, Fairfield County, Connecticut",4843,0.460950012,10506.56226,1,1221,23.50789372,0.824,5,,,4.5,5,,,,,,,
1400000US09001080200,9001080200,"Census Tract 802, Fairfield County, Connecticut",4298,0.518138308,8295.082479,1,680,15.95120807,0.661,4,,,4,4,,,,,,,
1400000US09001080400,9001080400,"Census Tract 804, Fairfield County, Connecticut",5956,1.407424668,4231.842838,1,866,13.71772533,0.595,3,,,3.5,4,,,,,,,
1400000US09001080500,9001080500,"Census Tract 805, Fairfield County, Connecticut",3189,3.224243124,989.0693342,1,138,4.555959062,0.126,1,,,1.5,2,,,,,,,
1400000US09001080600,9001080600,"Census Tract 806, Fairfield County, Connecticut",2580,0.659164058,3914.04836,1,216,8.188021228,0.316,2,,,2.5,3,,,,,,,
1400000US09001080700,9001080700,"Census Tract 807, Fairfield County, Connecticut",1955,0.675615485,2893.657771,1,88,4.415454089,0.119,1,,,2,2,,,,,,,
1400000US09001080800,9001080800,"Census Tract 808, Fairfield County, Connecticut",4800,1.26333983,3799.452757,1,354,7.78535298,0.292,2,,,2,2,,,,,,,
1400000US09001080900,9001080900,"Census Tract 809, Fairfield County, Connecticut",4726,0.713784388,6621.047025,1,727,14.41602221,0.613,4,,,3.5,4,,,,,,,
1400000US09001081000,9001081000,"Census Tract 810, Fairfield County, Connecticut",4376,1.079345541,4054.308683,1,383,9.334633195,0.384,2,,,3,3,,,,,,,
1400000US09001081100,9001081100,"Census Tract 811, Fairfield County, Connecticut",4699,1.312198358,3581.013475,1,221,4.518503374,0.124,1,,,1.5,2,,,,,,,
1400000US09001081200,9001081200,"Census Tract 812, Fairfield County, Connecticut",5231,2.315570574,2259.054446,1,561,11.3562753,0.472,3,,,2.5,3,,,,,,,
1400000US09001081300,9001081300,"Census Tract 813, Fairfield County, Connecticut",4731,3.851107804,1228.477685,1,727,14.07278358,0.603,4,,,3.5,4,,,,,,,
1400000US09001090100,9001090100,"Census Tract 901, Fairfield County, Connecticut",3315,3.31973623,998.5733112,1,192,5.71258554,0.184,1,,,1,1,,,,,,,
1400000US09001090200,9001090200,"Census Tract 902, Fairfield County, Connecticut",7831,3.737377934,2095.319269,1,930,11.58301158,0.484,3,,,2.5,3,,,,,,,
1400000US09001090300,9001090300,"Census Tract 903, Fairfield County, Connecticut",4561,1.839615473,2479.322482,1,439,9.520711342,0.402,3,,,2.5,3,,,,,,,
1400000US09001090400,9001090400,"Census Tract 904, Fairfield County, Connecticut",6552,2.922442884,2241.959984,1,1266,19.42313593,0.746,4,,,2.5,3,,,,,,,
1400000US09001090500,9001090500,"Census Tract 905, Fairfield County, Connecticut",4718,3.367259231,1401.139525,1,627,13.17226891,0.562,3,,,2,2,,,,,,,
1400000US09001090600,9001090600,"Census Tract 906, Fairfield County, Connecticut",3494,3.183600465,1097.499526,1,269,8.251533742,0.32,2,,,2,2,,,,,,,
1400000US09001090700,9001090700,"Census Tract 907, Fairfield County, Connecticut",5547,4.952851133,1119.960978,1,733,13.48169947,0.577,3,,,2,2,,,,,,,
1400000US09001100100,9001100100,"Census Tract 1001, Fairfield County, Connecticut",5574,7.980536589,698.4492756,1,648,11.45685997,0.479,3,,,2,2,,,,,,,
1400000US09001100200,9001100200,"Census Tract 1002, Fairfield County, Connecticut",6979,6.321284886,1104.047694,1,1018,14.07438131,0.601,4,,,3,3,,,,,,,
1400000US09001100300,9001100300,"Census Tract 1003, Fairfield County, Connecticut",6926,11.77078774,588.4058189,1,538,8.081718492,0.309,2,,,1.5,2,,,,,,,
1400000US09001105100,9001105100,"Census Tract 1051, Fairfield County, Connecticut",4076,12.29254421,331.5831068,1,109,2.730460922,0.037,1,,,1,1,,,,,,,
1400000US09001105200,9001105200,"Census Tract 1052, Fairfield County, Connecticut",3414,15.12599904,225.7041,2,399,11.23627147,0.467,3,,,2,2,,,,,,,
