Census Tract,Town,Distressed Tract,CLM $ Collected ,% of Total CLM $ Collected ,Incentive Disbursements,% of Total Incentive Disbursements,Residential CLM $ Collected,% of Total Residential CLM $ Collected,Residential Incentive Disbursements,% of Total Residential Incentive Disbursements ,C&I CLM $ Collected,% of Total C&I CLM $ Collected,C&I Incentive Disbursements,% of TotalC&I Incentive Disbursements ,Census Tract,
9009165300,Hamden,No,"$53,648.89 ",0.001866201,"$12,558.72 ",0.000650478,"$38,217.85 ",0.13%,"$9,893.72 ",0.05%,"$15,431.04 ",0.05%,"$2,665.00 ",0.01%,09009165300,
9009165400,Hamden,No,"$103,436.87 ",0.003598099,"$83,507.84 ",0.004325285,"$83,337.87 ",0.29%,"$69,097.84 ",0.36%,"$20,099.00 ",0.07%,"$14,410.00 ",0.08%,09009165400,
9009165500,Hamden,Yes,"$102,708.74 ",0.003572771,"$41,235.07 ",0.002135769,"$66,478.43 ",0.23%,"$7,399.17 ",0.04%,"$36,230.32 ",0.13%,"$33,835.90 ",0.18%,09009165500,
9009165600,Hamden,No,"$128,816.24 ",0.004480932,"$105,772.03 ",0.005478458,"$85,648.58 ",0.30%,"$24,289.98 ",0.13%,"$43,167.66 ",0.15%,"$81,482.05 ",0.42%,09009165600,
9009165700,Hamden,No,"$67,153.82 ",0.002335977,"$31,247.44 ",0.00161846,"$64,800.26 ",0.23%,"$30,497.44 ",0.16%,"$2,353.56 ",0.01%,$750.00 ,0.00%,09009165700,
9009165801,Hamden,No,"$150,515.08 ",0.005235736,"$23,186.32 ",0.001200935,"$83,548.52 ",0.29%,"$14,630.32 ",0.08%,"$66,966.56 ",0.23%,"$8,556.00 ",0.04%,09009165801,
9009165802,Hamden,No,"$85,192.53 ",0.002963461,"$61,652.60 ",0.003193294,"$78,575.17 ",0.27%,"$58,752.60 ",0.30%,"$6,617.36 ",0.02%,"$2,900.00 ",0.02%,09009165802,
9009165900,Hamden,No,"$201,433.23 ",0.007006947,"$128,200.07 ",0.006640118,"$157,684.25 ",0.55%,"$90,978.07 ",0.47%,"$43,748.98 ",0.15%,"$37,222.00 ",0.19%,09009165900,
9009166001,Hamden,No,"$160,482.77 ",0.005582467,"$88,718.18 ",0.004595155,"$106,242.27 ",0.37%,"$79,266.18 ",0.41%,"$54,240.50 ",0.19%,"$9,452.00 ",0.05%,09009166001,
9009166002,Hamden,No,"$134,251.28 ",0.004669992,"$57,277.99 ",0.002966711,"$95,509.52 ",0.33%,"$40,153.99 ",0.21%,"$38,741.76 ",0.14%,"$17,124.00 ",0.09%,09009166002,
9009167100,Hamden,No,"$1,190.78 ",0.000041422,"$1,620.00 ",0.000083908,"$1,029.02 ",0.00%,"$1,620.00 ",0.01%,$161.76 ,0.00%,$0.00 ,0.00%,09009167100,
9009150100,Milford,No,"$183,939.35 ",0.006398415,"$31,860.36 ",0.001650206,"$95,773.20 ",0.33%,"$12,562.36 ",0.07%,"$88,166.15 ",0.31%,"$19,298.00 ",0.10%,09009150100,
9009150200,Milford,No,"$82,556.00 ",0.002871748,"$25,151.08 ",0.001302699,"$64,672.71 ",0.23%,"$23,117.08 ",0.12%,"$17,883.29 ",0.06%,"$2,034.00 ",0.01%,09009150200,
9009150300,Milford,No,"$126,167.90 ",0.004388808,"$25,062.32 ",0.001298102,"$76,014.88 ",0.26%,"$9,687.14 ",0.05%,"$50,153.02 ",0.17%,"$15,375.18 ",0.08%,09009150300,
